 ****** HSPICE -- O-2018.09-SP2-2 linux64 (May  9 2019) ******
  Copyright (c) 1986 - 2020 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
vw,wm,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.3144396,0.07563561,-0.3758882,-0.4569915,-0.2949213
0.31444,0.07563575,-0.3731995,-0.4542714,-0.2922626
0.31444,0.0756376,-0.3705134,-0.4515543,-0.2896064
0.31444,0.07564158,-0.36783,-0.4488401,-0.2869525
0.3144401,0.0756419,-0.3651492,-0.4461288,-0.2843011
0.3144429,0.07564798,-0.3624711,-0.4434204,-0.281652
0.3144431,0.07564984,-0.3597956,-0.4407149,-0.2790053
0.3144433,0.0756525,-0.3571226,-0.4380122,-0.2763609
0.3144435,0.07565636,-0.3544522,-0.4353124,-0.2737188
0.314444,0.07565789,-0.3517843,-0.4326153,-0.2710789
0.3144441,0.07565844,-0.349119,-0.4299209,-0.2684413
0.3144442,0.07565853,-0.3464561,-0.4272294,-0.2658059
0.3144462,0.07565921,-0.3437956,-0.4245405,-0.2631727
0.3144477,0.07566058,-0.3411376,-0.4218543,-0.2605417
0.3144492,0.07566198,-0.338482,-0.4191708,-0.2579129
0.3144498,0.07566501,-0.3358288,-0.4164899,-0.2552862
0.31445,0.07566638,-0.3331779,-0.4138116,-0.2526616
0.3144507,0.07567851,-0.3305294,-0.4111359,-0.2500392
0.3144508,0.07568049,-0.3278832,-0.4084628,-0.2474187
0.3144512,0.07568978,-0.3252393,-0.4057922,-0.2448004
0.3144518,0.07569334,-0.3225976,-0.4031241,-0.2421841
